A003465,유화증권우,KOSPI,1,증권
A003470,유안타증권,KOSPI,1,증권
A003475,유안타증권우,KOSPI,1,증권
A003480,한진중공업홀딩스,KOSPI,1,전기가스업
A003490,대한항공,KOSPI,1,운수창고
A003495,대한항공우,KOSPI,1,운수창고
A003520,영진약품,KOSPI,1,의약품
A003530,한화투자증권,KOSPI,1,증권
A003535,한화투자증권우,KOSPI,1,증권
A003540,대신증권,KOSPI,1,증권
A003545,대신증권우,KOSPI,1,증권
A003547,대신증권2우B,KOSPI,1,증권
A003550,LG,KOSPI,1,금융업
A003555,LG우,KOSPI,1,금융업
A003560,IHQ,KOSPI,1,서비스업
A003570,SNT중공업,KOSPI,1,운송장비
A003580,넥스트사이언스,KOSPI,1,소형(시가총액)
A003610,방림,KOSPI,1,"섬유,의복"
A003620,쌍용차,KOSPI,1,운송장비
A003650,미창석유,KOSPI,1,화학
A003670,포스코케미칼,KOSPI,1,비금속광물
A003680,한성기업,KOSPI,1,음식료품
A003690,코리안리,KOSPI,1,보험
A003720,삼영화학,KOSPI,1,화학
A003780,진양산업,KOSPI,1,화학
A003830,대한화섬,KOSPI,1,화학
A003850,보령제약,KOSPI,1,의약품
A003920,남양유업,KOSPI,1,음식료품
A003925,남양유업우,KOSPI,1,음식료품
A003960,사조대림,KOSPI,1,음식료품
A004000,롯데정밀화학,KOSPI,1,화학
A004020,현대제철,KOSPI,1,"철강,금속"
A004060,SG세계물산,KOSPI,1,유통업
A004080,신흥,KOSPI,1,유통업
A004090,한국석유,KOSPI,1,비금속광물
A004100,태양금속,KOSPI,1,운송장비
A004105,태양금속우,KOSPI,1,운송장비
A004140,동방,KOSPI,1,운수창고
A004150,한솔홀딩스,KOSPI,1,금융업
A004170,신세계,KOSPI,1,유통업
A004250,NPC,KOSPI,1,화학
A004255,NPC우,KOSPI,1,화학
A004270,남성,KOSPI,1,유통업
A004310,현대약품,KOSPI,1,의약품
A004360,세방,KOSPI,1,운수창고
A004365,세방우,KOSPI,1,운수창고
A004370,농심,KOSPI,1,음식료품
A004380,삼익THK,KOSPI,1,기계
A004410,서울식품,KOSPI,1,음식료품
A004415,서울식품우,KOSPI,1,음식료품
A004430,송원산업,KOSPI,1,화학
A004440,삼일씨엔에스,KOSPI,1,비금속광물
A004450,삼화왕관,KOSPI,1,기계
A004490,세방전지,KOSPI,1,"전기,전자"
A004540,깨끗한나라,KOSPI,1,"종이,목재"
A004545,깨끗한나라우,KOSPI,1,"종이,목재"
A004560,현대비앤지스틸,KOSPI,1,"철강,금속"
A004565,현대비앤지스틸우,KOSPI,1,"철강,금속"
A004690,삼천리,KOSPI,1,전기가스업
A004700,조광피혁,KOSPI,1,소형(시가총액)
A004710,한솔테크닉스,KOSPI,1,"전기,전자"
A004720,팜젠사이언스,KOSPI,1,의약품
A004770,써니전자,KOSPI,1,"전기,전자"
A004800,효성,KOSPI,1,금융업
A004830,덕성,KOSPI,1,화학
A004835,덕성우,KOSPI,1,화학
A004840,DRB동일,KOSPI,1,화학
A004870,티웨이홀딩스,KOSPI,1,비금속광물
A004890,동일산업,KOSPI,1,"철강,금속"
A004910,조광페인트,KOSPI,1,화학
A004920,씨아이테크,KOSPI,1,소형(시가총액)
A004960,한신공영,KOSPI,1,건설업
A004970,신라교역,KOSPI,1,소형(시가총액)
A004980,성신양회,KOSPI,1,비금속광물
A004985,성신양회우,KOSPI,1,비금속광물
A004990,롯데지주,KOSPI,1,금융업
A00499K,롯데지주우,KOSPI,1,금융업
A005010,휴스틸,KOSPI,1,"철강,금속"
A005030,부산주공,KOSPI,1,운송장비
A005070,코스모신소재,KOSPI,1,화학
A005090,SGC에너지,KOSPI,1,전기가스업
A005110,한창,KOSPI,1,유통업
A005180,빙그레,KOSPI,1,음식료품
A005250,녹십자홀딩스,KOSPI,1,서비스업
A005257,녹십자홀딩스2우,KOSPI,1,서비스업
A005300,롯데칠성,KOSPI,1,음식료품
A005305,롯데칠성우,KOSPI,1,음식료품
A005320,국동,KOSPI,1,유통업
A005360,모나미,KOSPI,1,유통업
A005380,현대차,KOSPI,1,운송장비
A005385,현대차우,KOSPI,1,운송장비
A005387,현대차2우B,KOSPI,1,운송장비
A005389,현대차3우B,KOSPI,1,운송장비
A005390,신성통상,KOSPI,1,유통업
A005420,코스모화학,KOSPI,1,화학
A005430,한국공항,KOSPI,1,운수창고
A005440,현대그린푸드,KOSPI,1,유통업
A005490,POSCO,KOSPI,1,"철강,금속"
A005500,삼진제약,KOSPI,1,의약품
A005610,SPC삼립,KOSPI,1,음식료품
A005680,삼영전자,KOSPI,1,"전기,전자"
A005690,파미셀,KOSPI,1,의약품
A005720,넥센,KOSPI,1,화학
A005725,넥센우,KOSPI,1,화학
A005740,크라운해태홀딩스,KOSPI,1,금융업
A005745,크라운해태홀딩스우,KOSPI,1,금융업
A005750,대림B&Co,KOSPI,1,비금속광물
A005800,신영와코루,KOSPI,1,"섬유,의복"
A005810,풍산홀딩스,KOSPI,1,금융업
A005820,원림,KOSPI,1,"섬유,의복"
A005830,DB손해보험,KOSPI,1,보험
A005850,에스엘,KOSPI,1,운송장비
A005870,휴니드,KOSPI,1,"전기,전자"
A005880,대한해운,KOSPI,1,운수창고
A005930,삼성전자,KOSPI,1,"전기,전자"
A005935,삼성전자우,KOSPI,1,"전기,전자"
A005940,NH투자증권,KOSPI,1,증권
A005945,NH투자증권우,KOSPI,1,증권
A005950,이수화학,KOSPI,1,화학
A005960,동부건설,KOSPI,1,건설업
A005965,동부건설우,KOSPI,1,건설업
A006040,동원산업,KOSPI,1,중형(시가총액)
A006060,화승인더,KOSPI,1,화학
A006090,사조오양,KOSPI,1,음식료품
A006110,삼아알미늄,KOSPI,1,"철강,금속"
A006120,SK디스커버리,KOSPI,1,금융업
A006125,SK디스커버리우,KOSPI,1,금융업
A006200,한국전자홀딩스,KOSPI,1,금융업
A006220,제주은행,KOSPI,1,은행
A006260,LS,KOSPI,1,금융업
A006280,녹십자,KOSPI,1,의약품
A006340,대원전선,KOSPI,1,"전기,전자"
A006345,대원전선우,KOSPI,1,"전기,전자"
A006360,GS건설,KOSPI,1,건설업
A006370,대구백화점,KOSPI,1,유통업
A006380,카프로,KOSPI,1,화학
A006390,한일현대시멘트,KOSPI,1,비금속광물
A006400,삼성SDI,KOSPI,1,"전기,전자"
A006405,삼성SDI우,KOSPI,1,"전기,전자"
A006490,인스코비,KOSPI,1,통신업
A006570,대림통상,KOSPI,1,기계
A006650,대한유화,KOSPI,1,화학
A006660,삼성공조,KOSPI,1,운송장비
A006740,영풍제지,KOSPI,1,"종이,목재"
A006800,미래에셋증권,KOSPI,1,증권
A006805,미래에셋증권우,KOSPI,1,증권
A00680K,미래에셋증권2우B,KOSPI,1,증권
A006840,AK홀딩스,KOSPI,1,금융업
A006880,신송홀딩스,KOSPI,1,유통업
A006890,태경케미컬,KOSPI,1,화학
A006980,우성사료,KOSPI,1,음식료품
A007070,GS리테일,KOSPI,1,유통업
A007110,일신석재,KOSPI,1,유통업
A007120,미래아이앤지,KOSPI,1,서비스업
A007160,사조산업,KOSPI,1,소형(시가총액)
A007210,벽산,KOSPI,1,비금속광물
A007280,한국특강,KOSPI,1,"철강,금속"
A007310,오뚜기,KOSPI,1,음식료품
A007340,디티알오토모티브,KOSPI,1,"전기,전자"
A007460,에이프로젠 KIC,KOSPI,1,기계
A007540,샘표,KOSPI,1,금융업
A007570,일양약품,KOSPI,1,의약품
A007575,일양약품우,KOSPI,1,의약품
A007590,동방아그로,KOSPI,1,화학
A007610,선도전기,KOSPI,1,"전기,전자"
A007630,폴루스바이오팜,KOSPI,1,유통업
A007660,이수페타시스,KOSPI,1,"전기,전자"
A007690,국도화학,KOSPI,1,화학
